game_id,game_name,platform,genre,cost,price,release_date,active
G0001,Cyber Quest,Xbox,Aventura,63.48,124.6,2022-08-03,Yes
G0002,Dragon Horizon,Switch,Ação,34.47,51.59,2020-08-31,Yes
G0003,Star Uprising,Switch,Aventura,97.38,150.98,2024-09-30,Yes
G0004,Ghost Uprising,Switch,Corrida,71.68,107.07,2023-07-25,Yes
G0005,Dragon Arena,PC,Corrida,157.12,289.63,2024-01-19,Yes
G0006,Titan Requiem,PC,Terror,41.82,65.4,2022-01-18,Yes
G0007,Rogue Horizon,PlayStation,RPG,36.87,55.49,2018-03-31,No
G0008,Storm Protocol,PC,Terror,71.7,134.23,2019-02-03,Yes
G0009,Rogue Odyssey,Xbox,RPG,121.37,176.47,2023-03-06,Yes
G0010,Titan Arena,Xbox,Aventura,132.69,273.15,2023-09-14,Yes
G0011,Neon Saga,Xbox,Terror,70.16,104.53,2025-07-29,Yes
G0012,Lunar Odyssey,Switch,Terror,162.7,305.64,2016-08-08,Yes
G0013,Storm Uprising,Xbox,Terror,164.67,273.26,2017-06-17,No
G0014,Iron Requiem,Switch,RPG,143.37,297.49,2016-09-18,Yes
G0015,Ember Horizon,PC,Terror,87.24,191.62,2020-12-07,Yes
G0016,Shadow Empire,PC,Estratégia,145.29,233.36,2018-04-17,Yes
G0017,Titan Quest,Xbox,Esporte,106.15,148.16,2022-01-05,Yes
G0018,Star Reborn,Xbox,Esporte,110.91,221.9,2020-12-12,No
G0019,Lunar Frontier,PC,RPG,169.36,354.11,2024-04-29,Yes
G0020,Storm Quest,PlayStation,RPG,42.85,74.45,2015-10-11,No
G0021,Iron Reborn,Switch,Esporte,69.76,145.46,2019-09-30,No
G0022,Star Uprising,Xbox,Terror,179.27,337.9,2019-11-30,Yes
G0023,Titan Legends,PlayStation,Aventura,39.6,52.23,2021-03-18,Yes
G0024,Storm Quest,PC,Ação,64.34,136.07,2024-08-22,Yes
G0025,Storm Rising,Switch,Aventura,110.89,216.35,2024-11-23,Yes
G0026,Nova Odyssey,Switch,Terror,58.56,81.24,2019-11-01,Yes
G0027,Ember Frontier,PC,RPG,39.09,76.44,2023-12-24,Yes
G0028,Storm Odyssey,PlayStation,Indie,51.03,74.77,2020-03-09,Yes
G0029,Dragon Frontier,PC,Ação,127.82,228.35,2015-03-02,No
G0030,Storm Reborn,Switch,Indie,102.2,212.39,2025-02-13,Yes
G0031,Frost Quest,Switch,Estratégia,168.98,339.08,2018-03-14,Yes
G0032,Nova Reborn,PlayStation,Estratégia,62.66,84.76,2023-04-02,Yes
G0033,Lunar Quest,PC,Indie,105.43,217.97,2016-10-06,Yes
G0034,Dragon Protocol,PlayStation,RPG,119.26,227.51,2017-08-21,Yes
G0035,Storm Horizon,PC,RPG,92.88,169.53,2020-11-11,Yes
G0036,Crimson Odyssey,Xbox,Aventura,69.84,99.02,2022-03-28,Yes
G0037,Lunar Saga,PC,Ação,98.74,217.09,2016-02-14,Yes
G0038,Star Requiem,Xbox,Esporte,169.99,355.75,2024-11-10,Yes
G0039,Solar Reborn,Switch,Estratégia,121.75,266.45,2022-05-02,Yes
G0040,Solar Empire,PC,Esporte,69.67,146.36,2023-04-29,Yes
G0041,Crimson Rising,PlayStation,Corrida,60.54,113.26,2017-12-17,Yes
G0042,Crimson Protocol,PC,RPG,125.14,256.09,2015-06-30,Yes
G0043,Iron Empire,Xbox,Esporte,141.18,253.63,2019-10-18,Yes
G0044,Cyber Legends,PlayStation,Ação,155.19,283.11,2016-08-29,Yes
G0045,Neon Rising,Xbox,Ação,164.84,245.46,2017-10-19,Yes
G0046,Rogue Saga,Switch,Esporte,168.86,255.5,2016-10-27,No
G0047,Ghost Arena,PC,Esporte,140.48,224.62,2025-06-09,Yes
G0048,Storm Rising,PlayStation,RPG,87.38,116.64,2020-04-11,Yes
G0049,Titan Chronicles,Xbox,Aventura,63.44,120.16,2019-06-21,Yes
G0050,Dragon Saga,Xbox,Corrida,126.22,209.49,2024-06-17,Yes
G0051,Shadow Legends,Xbox,Esporte,117.09,255.86,2015-06-06,Yes
G0052,Ember Chronicles,Xbox,Terror,120.93,212.87,2019-04-27,Yes
G0053,Star Rising,PC,Terror,30.25,64.52,2021-01-14,Yes
G0054,Star Chronicles,Switch,RPG,172.33,366.84,2021-12-27,Yes
G0055,Cyber Uprising,Xbox,Estratégia,130.03,207.21,2022-10-26,Yes
G0056,Iron Odyssey,Switch,Terror,131.6,278.01,2021-11-26,Yes
G0057,Frost Requiem,PC,Estratégia,73.04,123.21,2021-07-03,Yes
