order_id,member_id,game_id,quantity,unit_price,order_date,promotion_id
1,106,G0067,2,207.06,2025-02-01,
2,233,G0006,1,65.4,2024-11-27,
3,267,G0036,3,99.02,2024-09-26,
4,292,G0023,2,52.23,2025-01-22,
5,40,G0067,2,207.06,2025-01-20,PROMO02
6,265,G0052,2,212.87,2024-12-19,
7,247,G0078,1,244.12,2025-05-28,PROMO04
8,85,G0030,1,212.39,2025-06-10,
9,109,G0020,1,74.45,2024-06-10,
10,61,G0030,2,212.39,2024-12-04,
11,247,G0062,2,100.05,2024-08-03,
12,211,G0003,1,150.98,2024-02-14,
13,83,G0018,3,221.9,2025-06-08,
14,294,G0019,1,354.11,2024-06-19,
15,93,G0067,2,207.06,2024-01-20,PROMO03
16,44,G0028,2,74.77,2025-04-27,PROMO02
17,113,G0053,3,64.52,2024-05-26,
18,94,G0080,3,138.35,2025-06-07,
19,176,G0059,3,200.65,2024-03-11,
20,198,G0017,1,148.16,2024-01-17,
21,259,G0054,1,366.84,2024-04-08,
22,20,G0069,3,80.63,2024-04-30,
23,67,G0078,3,244.12,2024-01-02,PROMO04
24,268,G0054,-2,366.84,2024-02-14,
25,220,G0030,2,212.39,2025-01-25,
26,295,G0013,2,273.26,2024-05-17,
27,120,G0011,2,104.53,2025-02-22,
28,3,G0001,3,124.6,2025-06-19,
29,4,G0049,3,120.16,2024-07-29,
30,162,G0053,-2,64.52,2024-04-19,
31,300,G0033,2,217.97,2025-03-09,
32,142,G0051,1,255.86,2025-02-27,
33,286,G0062,1,100.05,2025-01-14,
34,248,G0033,2,217.97,2024-12-18,
35,204,G0018,3,221.9,2024-05-01,
36,229,G0021,1,145.46,2024-08-07,
37,174,G0071,3,106.46,2024-02-23,
38,3,G0012,1,305.64,2025-04-27,PROMO04
39,46,G0009,2,176.47,2024-08-15,
40,20,G0050,2,209.49,2025-06-17,
41,30,G0023,3,52.23,2025-05-21,
42,104,G0067,2,207.06,2024-07-18,
43,262,G0067,3,207.06,2024-08-25,
44,19,G0047,1,224.62,2024-01-01,PROMO01
45,142,G0052,2,212.87,2025-02-08,
46,103,G0067,1,207.06,2024-03-11,PROMO03
47,287,G0075,2,58.76,2024-12-21,PROMO03
48,116,G0078,1,244.12,2025-04-10,PROMO01
49,134,G0023,2,52.23,2025-06-02,
50,38,G0065,2,277.19,2024-12-14,PROMO03
51,276,G0074,2,157.49,2025-03-29,PROMO04
52,125,G0044,2,283.11,2025-04-16,PROMO01
53,247,G0015,2,191.62,2024-03-10,
54,113,G0030,2,212.39,2025-02-26,PROMO01
55,135,G0032,2,84.76,2024-04-05,
56,176,G0010,3,273.15,2024-07-01,
57,182,G0028,3,74.77,2024-10-02,
58,98,G0064,3,85.91,2024-07-23,
59,124,G0034,1,227.51,2024-08-22,
60,128,G0080,2,138.35,2024-06-08,
61,62,G0011,3,104.53,2025-05-19,
62,278,G0006,2,65.4,2025-01-15,
63,253,G0074,2,157.49,2025-05-17,
64,262,G0036,2,99.02,2024-08-15,
65,66,G0007,3,55.49,2025-03-09,
66,277,G0005,-3,289.63,2024-12-21,
67,90,G0059,1,200.65,2025-06-14,
68,5,G0002,3,51.59,2024-08-03,
69,52,G0042,2,256.09,2024-09-22,
70,135,G0031,2,339.08,2025-04-27,PROMO03
71,188,G0024,2,136.07,2025-03-10,
72,191,G0047,2,224.62,2024-10-13,
73,293,G0017,3,148.16,2024-08-22,
74,139,G0031,3,339.08,2025-03-18,PROMO02
75,75,G0020,2,74.45,2024-01-10,
76,256,G0018,3,221.9,2025-06-13,
77,162,G0063,2,121.9,2024-09-13,
78,291,G0007,2,55.49,2024-04-11,
79,31,G0028,2,74.77,2025-05-02,
80,50,G0058,-3,231.17,2024-12-08,
81,185,G0072,3,366.53,2024-09-20,
82,211,G0016,2,233.36,2024-07-22,
83,276,G0023,2,52.23,2024-14-05,
84,262,G0063,3,121.9,2025-04-02,PROMO04
85,147,G0060,-3,216.3,2024-05-28,PROMO03
86,216,G0079,3,243.27,2025-02-18,
87,37,G0011,1,104.53,2024-12-17,
88,163,G0038,3,355.75,2024-09-30,
89,203,G0035,2,169.53,2025-01-06,
90,267,G0058,2,231.17,2024-06-20,
91,12,G0017,3,148.16,2024-08-28,
92,41,G0027,1,76.44,2025-02-10,
93,33,G0061,3,172.06,2024-02-25,
94,204,G9004,1,125.73,2024-04-16,
95,80,G0011,3,104.53,2025-02-03,
96,127,G0037,2,217.09,2024-05-09,
97,88,G0004,1,107.07,2024-12-31,PROMO03
98,244,G0060,3,216.3,2024-10-05,
99,70,G0070,1,49.92,2025-04-12,
100,289,G0056,3,278.01,2024-11-13,PROMO04
101,277,G0030,1,212.39,2025-03-28,
102,212,G0034,1,227.51,2024-11-06,
103,938,G0018,2,221.9,2024-10-20,
104,5,G0063,2,121.9,2024-11-02,
105,221,G0038,3,355.75,2024-08-24,
106,281,G0048,1,116.64,2025-02-25,PROMO04
107,203,G0032,-1,84.76,2025-02-03,
108,113,G0034,1,227.51,2025-03-08,
109,265,G0079,3,243.27,2024-10-05,
110,273,G0035,2,169.53,2024-07-11,PROMO02
111,70,G0038,1,355.75,2025-04-11,
112,140,G0080,2,138.35,2024-07-11,
113,78,G0007,3,55.49,2024-01-23,
114,53,G0037,2,217.09,2024-05-08,
115,5,G0030,1,212.39,2024-06-03,
116,112,G0044,2,283.11,2024-11-15,
117,256,G0048,2,116.64,2024-02-02,
118,75,G0008,2,134.23,2025-02-05,
119,241,G0024,1,136.07,2024-09-13,
120,7,G0016,3,233.36,2024-09-11,
121,227,G0032,3,84.76,2024-02-04,
122,49,G0067,3,207.06,2024-08-01,
123,160,G0042,1,256.09,2024-02-13,
124,282,G0067,1,207.06,2024-09-16,
125,153,G0026,2,81.24,2024-02-23,PROMO02
126,58,G0031,3,339.08,2025-03-20,
127,86,G0036,3,99.02,2024-05-02,
128,125,G0002,1,51.59,2025-05-01,
129,80,G0048,1,116.64,2024-09-11,
130,47,G0080,2,138.35,2024-03-02,
131,79,G0069,1,80.63,2024-05-08,
132,163,G0072,3,366.53,2024-12-21,
133,225,G0025,1,216.35,2025-01-21,
134,69,G0033,1,217.97,2025-05-11,
135,287,G0038,3,355.75,2025-05-16,
136,96,G0070,2,49.92,2024-11-27,
137,141,G0077,3,171.46,2024-06-13,
138,80,G0058,2,231.17,2024-09-26,
139,233,G0001,3,124.6,2025-06-02,
140,95,G0003,3,150.98,2025-01-07,
141,123,G0042,3,256.09,2024-03-05,
142,276,G0050,1,209.49,2024-14-05,
143,283,G0020,3,74.45,2024-10-16,
144,165,G0015,1,191.62,2025-06-19,
145,23,G0017,1,148.16,2024-02-02,
146,249,G0025,1,216.35,2024-02-02,
147,199,G0063,3,-121.9,2024-09-19,
148,114,G0078,3,244.12,2024-03-13,
149,107,G0063,1,121.9,2025-04-24,
150,32,G0047,3,224.62,2025-03-01,
151,30,G0079,2,243.27,2025-06-25,
152,37,G0039,1,266.45,2024-08-09,PROMO01
153,52,G0030,3,212.39,2025-01-29,
154,270,G0032,3,84.76,2024-07-02,
155,286,G0054,3,366.84,2024-04-18,
156,296,G0046,3,255.5,2025-04-14,
157,219,G0014,1,297.49,2024-07-03,
158,259,G0044,-3,283.11,2024-06-10,
159,227,G0046,2,255.5,2024-11-28,
160,212,G0056,3,278.01,2024-11-27,
161,289,G0070,1,49.92,2025-01-19,
162,131,G0047,2,224.62,2025-04-03,PROMO01
163,18,G0037,3,217.09,2024-01-17,
164,155,G0001,2,124.6,2024-08-15,
165,162,G0003,3,150.98,2024-10-09,PROMO02
166,49,G0005,2,289.63,2024-12-30,
167,136,G0047,3,224.62,2024-09-12,
168,154,G0012,3,305.64,2025-02-13,
169,112,G0010,-3,273.15,2024-11-28,
170,89,G0063,3,121.9,2024-04-07,
171,946,G0005,3,289.63,2025-01-25,
172,29,G0043,2,253.63,2025-03-20,
173,62,G0030,3,212.39,2024-01-12,
174,196,G0007,2,55.49,2025-06-20,
175,277,G0073,1,179.77,2024-11-30,
176,114,G0020,1,74.45,2025-02-06,PROMO01
177,114,G0056,2,278.01,2025-02-07,
178,173,G0011,2,104.53,2024-02-20,
179,135,G0011,2,104.53,2025-05-28,
180,67,G0018,2,221.9,2024-07-21,
181,293,G0026,3,81.24,2025-06-20,
182,37,G0035,2,169.53,2024-11-27,
183,295,G0012,1,305.64,2025-02-27,
184,179,G0025,2,216.35,2024-12-18,
185,13,G0040,1,146.36,2024-12-24,
186,948,G0080,1,138.35,2024-02-30,
187,120,G9018,3,81.24,2025-01-17,
188,44,G0015,3,191.62,2024-02-25,
189,76,G0037,1,217.09,2024-12-17,
190,57,G0040,2,146.36,2025-04-27,
191,108,G0069,1,80.63,2024-07-27,
192,133,G0071,2,106.46,2024-05-24,
193,10,G0049,3,120.16,2025-06-23,
194,88,G0008,2,134.23,2024-07-24,
195,139,G0007,2,55.49,2024-01-09,
196,139,G0047,1,224.62,2024-01-20,
197,198,G0030,2,212.39,2025-06-04,PROMO01
198,162,G9046,3,121.9,2025-06-28,
199,102,G0065,2,277.19,2024-01-23,
200,272,G0040,2,146.36,2025-05-16,
201,81,G0003,2,150.98,2024-12-26,
202,155,G0031,3,339.08,2024-10-09,
203,132,G0050,1,209.49,2024-10-13,
204,175,G0051,3,255.86,2024-05-20,
205,196,G0067,3,207.06,2024-08-20,
206,294,G0020,2,74.45,2024-11-15,PROMO03
207,230,G0070,1,49.92,2024-07-30,
208,298,G0070,3,49.92,2024-07-26,PROMO03
209,269,G0018,2,221.9,2024-05-28,
210,290,G0021,2,145.46,2024-03-10,
211,61,G0024,2,136.07,2024-05-29,
212,164,G0053,2,64.52,2024-11-06,
213,141,G0020,1,74.45,2024-04-19,
214,14,G0079,3,243.27,2024-09-30,
215,119,G0077,1,171.46,2024-08-24,
216,184,G0011,3,104.53,2025-05-03,
217,241,G0048,1,116.64,2025-01-31,
218,71,G0021,1,145.46,2024-08-19,
219,8,G0035,2,169.53,2024-08-15,
220,104,G0027,1,76.44,2024-06-30,PROMO04
221,251,G0042,2,256.09,2024-09-09,
222,22,G0078,3,244.12,2025-01-24,
223,202,G0079,3,243.27,2025-06-21,
224,20,G0067,1,207.06,2025-04-07,
225,22,G0032,3,84.76,2025-02-09,PROMO01
226,286,G0050,3,209.49,2024-02-20,
227,226,G0051,2,255.86,2024-14-05,
228,217,G0038,-3,355.75,2024-02-25,
229,73,G0060,-3,216.3,2025-04-07,
230,257,G0015,1,191.62,2024-05-18,
231,166,G0058,1,231.17,2024-07-02,
232,104,G0059,1,200.65,2024-09-13,
233,84,G0016,1,233.36,2024-04-26,
234,186,G0011,3,104.53,2025-01-28,
235,262,G0079,1,243.27,2025-01-22,
236,23,G0022,2,337.9,2024-06-02,
237,75,G0023,3,52.23,2024-02-22,
238,159,G0058,2,231.17,2024-07-04,
239,68,G0026,1,81.24,2024-09-16,
240,255,G0064,3,85.91,2024-01-06,
241,253,G0031,1,339.08,2025-05-02,
242,227,G0011,3,104.53,2024-01-07,
243,281,G0036,3,99.02,2024-07-31,
244,76,G0008,3,134.23,2024-12-23,
245,17,G0074,3,-157.49,2024-11-01,
246,45,G0007,1,55.49,2025-03-02,PROMO02
247,146,G0079,3,243.27,2024-06-30,PROMO03
248,19,G0012,2,305.64,2024-11-26,
249,195,G0009,2,176.47,2024-03-07,
250,69,G0016,3,233.36,2024-10-08,
251,212,G0068,1,125.73,2024-08-02,
252,56,G0074,3,157.49,2025-06-25,PROMO04
253,148,G0055,3,207.21,2024-11-20,
254,295,G0080,2,138.35,2024-05-12,
255,255,G0067,3,207.06,2025-05-24,
256,93,G0079,1,243.27,2024-10-24,PROMO01
257,61,G0004,2,-107.07,2024-04-30,
258,107,G9005,2,243.27,2025-02-27,
259,180,G0072,3,366.53,2024-08-05,
260,104,G0037,2,217.09,2024-03-10,
261,260,G0071,2,106.46,2024-01-07,
262,171,G0044,2,283.11,2024-01-30,
263,100,G0043,2,253.63,2025-05-05,PROMO01
264,70,G0062,1,100.05,2025-04-16,PROMO03
265,237,G0053,3,64.52,2024-02-27,
266,154,G0073,3,179.77,2024-11-19,
267,10,G0027,3,76.44,2024-12-05,
268,182,G0009,1,176.47,2024-10-14,
269,174,G0049,3,120.16,2024-06-18,
270,200,G0024,3,136.07,2024-04-29,PROMO03
271,162,G0005,2,289.63,2025-02-27,
272,122,G0048,2,116.64,2023-00-10,
273,155,G0023,1,52.23,2025-01-18,
274,104,G0012,2,305.64,2025-06-02,
275,248,G0065,1,277.19,2024-07-13,
276,248,G0068,2,125.73,2024-12-01,
277,51,G0067,3,207.06,2024-05-15,
278,19,G0059,2,200.65,2025-06-18,
279,160,G0006,3,65.4,2024-03-30,
280,24,G0014,3,297.49,2024-11-15,
281,160,G0027,2,76.44,2024-07-24,
282,142,G0069,2,80.63,2025-03-27,
283,140,G0020,1,74.45,2024-10-07,
284,287,G0066,1,241.7,2024-07-30,
285,282,G0041,2,113.26,2024-05-24,PROMO03
286,294,G9022,1,84.76,2024-03-13,
287,174,G0070,2,49.92,2024-02-21,
288,242,G0007,1,55.49,2025-01-27,
289,219,G0051,1,255.86,2025-04-01,
290,910,G0043,1,253.63,2024-03-21,PROMO04
291,291,G0017,1,148.16,2025-04-24,
292,159,G0060,2,216.3,2024-08-25,PROMO02
293,133,G0047,2,224.62,2024-07-06,
