member_id,cluster_label,recommended_game_1,recommended_game_2,recommended_game_3
1,2,G0002,G0011,G0075
2,1,G0036,G0006,G0037
3,1,G0055,G0036,G0074
4,1,G0055,G0036,G0006
5,2,G0020,G0011,G0064
6,2,G0002,G0020,G0011
7,3,G0042,G0072,G0019
8,1,G0055,G0074,G0006
9,3,G0042,G0019,G0016
10,1,G0055,G0036,G0074
11,1,G0055,G0074,G0006
12,3,G0019,G0031,G0016
13,1,G0055,G0036,G0074
14,1,G0036,G0074,G0006
15,3,G0018,G0042,G0072
16,1,G0055,G0036,G0074
17,3,G0042,G0072,G0019
18,1,G0055,G0074,G0006
19,2,G0002,G0020,G0007
20,3,G0072,G0019,G0031
21,3,G0042,G0072,G0019
22,2,G0002,G0020,G0007
23,2,G0002,G0020,G0075
24,1,G0055,G0006,G0037
25,3,G0018,G0042,G0072
26,1,G0055,G0074,G0006
27,1,G0036,G0074,G0006
28,1,G0055,G0036,G0074
29,3,G0042,G0019,G0031
30,3,G0018,G0042,G0072
31,2,G0011,G0007,G0075
32,2,G0020,G0011,G0007
33,1,G0055,G0036,G0074
34,2,G0002,G0020,G0011
35,2,G0020,G0075,G0064
36,2,G0002,G0020,G0011
37,1,G0036,G0074,G0006
38,3,G0018,G0019,G0016
39,1,G0006,G0037,G0061
40,2,G0002,G0007,G0075
41,1,G0006,G0037,G0056
42,1,G0055,G0036,G0074
43,2,G0020,G0075,G0070
44,3,G0072,G0031,G0038
45,2,G0002,G0020,G0011
46,1,G0055,G0036,G0074
47,1,G0055,G0036,G0006
48,1,G0055,G0074,G0006
49,1,G0055,G0036,G0074
50,3,G0018,G0042,G0019
51,2,G0020,G0011,G0007
52,1,G0074,G0006,G0037
53,2,G0002,G0011,G0007
54,2,G0020,G0007,G0075
55,1,G0055,G0036,G0037
56,1,G0055,G0036,G0006
57,2,G0020,G0011,G0007
58,3,G0042,G0072,G0016
59,3,G0018,G0042,G0072
60,1,G0055,G0036,G0074
61,3,G0018,G0042,G0072
62,1,G0055,G0074,G0006
63,3,G0042,G0072,G0019
64,2,G0002,G0020,G0011
65,1,G0055,G0036,G0074
66,3,G0019,G0031,G0038
67,1,G0055,G0036,G0074
68,2,G0020,G0011,G0007
69,1,G0055,G0036,G0074
70,2,G0002,G0020,G0007
71,2,G0002,G0011,G0007
72,3,G0018,G0042,G0072
73,3,G0018,G0042,G0072
74,2,G0002,G0020,G0075
75,2,G0002,G0011,G0007
76,2,G0020,G0011,G0023
77,1,G0055,G0036,G0006
78,1,G0055,G0036,G0006
79,3,G0018,G0042,G0072
80,1,G0055,G0036,G0074
81,2,G0002,G0011,G0007
82,2,G0002,G0011,G0007
83,3,G0072,G0031,G0016
84,2,G0002,G0020,G0011
85,2,G0002,G0020,G0011
86,2,G0011,G0075,G0023
87,3,G0018,G0072,G0019
88,2,G0002,G0020,G0011
89,1,G0055,G0036,G0074
90,3,G0018,G0072,G0016
91,1,G0055,G0036,G0074
92,2,G0020,G0011,G0007
93,1,G0055,G0036,G0056
94,1,G0055,G0036,G0074
95,3,G0018,G0042,G0072
96,2,G0002,G0020,G0011
97,3,G0018,G0042,G0031
98,1,G0055,G0036,G0074
99,3,G0018,G0042,G0072
100,1,G0055,G0036,G0006
101,2,G0020,G0007,G0075
102,3,G0018,G0042,G0072
103,2,G0020,G0007,G0075
104,1,G0036,G0074,G0006
105,3,G0072,G0031,G0016
106,1,G0074,G0006,G0037
107,1,G0074,G0006,G0037
108,1,G0055,G0036,G0074
109,2,G0002,G0011,G0007
110,1,G0055,G0074,G0037
111,1,G0055,G0036,G0074
112,3,G0018,G0072,G0019
113,1,G0055,G0074,G0006
114,1,G0074,G0006,G0037
115,1,G0055,G0036,G0006
116,1,G0055,G0036,G0074
117,2,G0002,G0020,G0011
118,3,G0072,G0019,G0051
119,2,G0002,G0020,G0011
120,1,G0055,G0036,G0074
121,1,G0036,G0074,G0006
122,2,G0002,G0011,G0075
123,1,G0055,G0074,G0006
124,1,G0055,G0074,G0006
125,2,G0011,G0075,G0064
126,2,G0011,G0007,G0064
127,2,G0002,G0020,G0011
128,1,G0055,G0074,G0006
129,3,G0018,G0042,G0019
130,2,G0002,G0020,G0011
131,1,G0055,G0036,G0006
132,2,G0020,G0007,G0075
133,3,G0018,G0042,G0072
134,3,G0018,G0042,G0072
135,2,G0002,G0020,G0007
136,1,G0036,G0074,G0037
137,2,G0002,G0007,G0075
138,2,G0002,G0011,G0007
139,1,G0055,G0074,G0006
140,2,G0002,G0011,G0007
141,2,G0011,G0007,G0075
142,1,G0036,G0074,G0006
143,1,G0055,G0036,G0006
144,2,G0002,G0020,G0011
145,2,G0002,G0020,G0011
146,1,G0036,G0037,G0056
147,1,G0055,G0036,G0037
148,2,G0002,G0020,G0011
149,3,G0018,G0042,G0072
150,2,G0002,G0020,G0007
151,3,G0018,G0072,G0019
152,3,G0018,G0042,G0031
153,2,G0002,G0020,G0011
154,1,G0055,G0036,G0037
155,1,G0074,G0006,G0037
156,1,G0036,G0074,G0006
157,1,G0055,G0036,G0074
158,2,G0002,G0020,G0011
159,1,G0055,G0074,G0006
160,2,G0002,G0011,G0007
161,1,G0055,G0036,G0037
162,2,G0020,G0011,G0007
163,1,G0055,G0074,G0037
164,1,G0036,G0006,G0037
165,1,G0055,G0036,G0074
166,1,G0055,G0036,G0074
167,1,G0055,G0036,G0074
168,2,G0002,G0011,G0007
169,3,G0018,G0042,G0072
170,2,G0002,G0020,G0011
171,1,G0036,G0074,G0006
172,1,G0055,G0036,G0074
173,2,G0020,G0007,G0075
174,3,G0018,G0042,G0072
175,1,G0055,G0036,G0074
176,1,G0055,G0036,G0074
177,1,G0055,G0036,G0074
178,1,G0036,G0074,G0006
179,1,G0055,G0036,G0006
180,1,G0055,G0036,G0006
181,3,G0018,G0042,G0019
182,1,G0055,G0036,G0006
183,2,G0002,G0020,G0011
184,2,G0002,G0007,G0075
185,3,G0018,G0042,G0019
186,3,G0019,G0031,G0038
187,2,G0002,G0020,G0011
188,2,G0002,G0020,G0011
189,1,G0055,G0074,G0006
190,1,G0055,G0036,G0037
191,3,G0018,G0042,G0072
192,1,G0036,G0074,G0006
193,1,G0036,G0074,G0037
194,2,G0002,G0020,G0007
195,2,G0011,G0075,G0064
196,1,G0055,G0036,G0074
197,3,G0018,G0042,G0072
198,1,G0036,G0074,G0006
199,3,G0072,G0019,G0031
200,1,G0036,G0074,G0006
201,2,G0020,G0011,G0075
202,1,G0055,G0036,G0074
203,1,G0036,G0037,G0056
204,3,G0072,G0031,G0016
205,1,G0055,G0074,G0006
206,2,G0002,G0011,G0007
207,1,G0055,G0036,G0056
208,1,G0055,G0036,G0074
209,1,G0074,G0037,G0061
210,3,G0018,G0072,G0019
211,1,G0074,G0006,G0056
212,1,G0055,G0036,G0074
213,3,G0018,G0042,G0072
214,1,G0036,G0074,G0006
215,1,G0055,G0036,G0074
216,2,G0002,G0020,G0075
217,1,G0055,G0036,G0074
218,3,G0018,G0042,G0016
219,3,G0018,G0072,G0019
220,2,G0002,G0020,G0011
221,1,G0055,G0074,G0037
222,1,G0036,G0074,G0006
223,2,G0020,G0011,G0007
224,1,G0055,G0074,G0006
225,1,G0036,G0006,G0037
226,2,G0007,G0023,G0070
227,1,G0055,G0036,G0074
228,1,G0055,G0074,G0037
229,2,G0002,G0020,G0007
230,2,G0002,G0020,G0011
231,2,G0002,G0020,G0011
232,1,G0036,G0006,G0037
233,2,G0002,G0011,G0075
234,3,G0018,G0042,G0072
235,2,G0020,G0075,G0023
236,1,G0055,G0036,G0074
237,2,G0002,G0020,G0011
238,2,G0002,G0011,G0075
239,3,G0018,G0042,G0019
240,1,G0055,G0006,G0037
241,1,G0055,G0036,G0074
242,3,G0042,G0072,G0019
243,1,G0055,G0036,G0074
244,1,G0055,G0036,G0006
245,2,G0002,G0020,G0011
246,2,G0020,G0011,G0007
247,3,G0018,G0042,G0072
248,1,G0055,G0036,G0074
249,2,G0002,G0020,G0011
250,1,G0055,G0036,G0074
251,3,G0018,G0072,G0031
252,1,G0055,G0036,G0074
253,1,G0036,G0006,G0037
254,1,G0055,G0074,G0037
255,3,G0018,G0042,G0072
256,1,G0036,G0074,G0006
257,1,G0055,G0036,G0074
258,2,G0002,G0020,G0011
259,1,G0055,G0074,G0006
260,1,G0036,G0074,G0056
261,2,G0002,G0020,G0007
262,1,G0074,G0006,G0056
263,2,G0002,G0020,G0011
264,3,G0018,G0042,G0072
265,3,G0018,G0042,G0072
266,2,G0020,G0011,G0007
267,3,G0042,G0019,G0031
268,2,G0002,G0020,G0011
269,1,G0055,G0036,G0074
270,3,G0018,G0019,G0031
271,2,G0002,G0020,G0011
272,1,G0055,G0036,G0074
273,1,G0055,G0036,G0074
274,2,G0002,G0020,G0011
275,2,G0020,G0011,G0023
276,1,G0006,G0037,G0056
277,1,G0055,G0036,G0006
278,1,G0074,G0037,G0061
279,2,G0020,G0007,G0075
280,1,G0055,G0036,G0074
281,2,G0002,G0020,G0011
282,1,G0055,G0074,G0006
283,2,G0002,G0011,G0007
284,3,G0018,G0042,G0019
285,1,G0055,G0036,G0006
286,3,G0018,G0042,G0019
287,1,G0055,G0036,G0074
288,1,G0036,G0074,G0037
289,2,G0011,G0007,G0075
290,1,G0055,G0036,G0074
291,2,G0002,G0020,G0011
