game_id,game_name,total_quantity,total_revenue,lucro
G0001,Cyber Quest,128,15948.8,7823.359999999999
G0002,Dragon Horizon,150,7738.500000000001,2568.000000000001
G0003,Star Uprising,107,15550.939999999999,5131.279999999999
G0004,Ghost Uprising,114,11777.699999999999,3606.1799999999985
G0005,Dragon Arena,96,27804.48,12720.96
G0006,Titan Requiem,128,8109.6,2756.640000000001
G0007,Rogue Horizon,127,6603.31,1920.8200000000006
G0008,Storm Protocol,100,12886.079999999998,5716.079999999998
G0009,Rogue Odyssey,91,15352.89,4308.219999999999
G0010,Titan Arena,114,27314.999999999996,12188.339999999998
G0011,Neon Saga,144,15052.320000000002,4949.280000000002
G0012,Lunar Odyssey,135,37593.72,15629.22
G0013,Storm Uprising,102,27872.52,11076.18
G0014,Iron Requiem,98,27964.06,13913.800000000001
G0015,Ember Horizon,121,23186.02,12629.980000000001
G0016,Shadow Empire,139,31503.600000000002,11308.290000000003
G0017,Titan Quest,115,15853.12,3645.869999999999
G0018,Star Reborn,158,34172.6,16648.82
G0019,Lunar Frontier,129,44263.75,22416.309999999998
G0020,Storm Quest,155,11093.050000000001,4451.3
G0021,Iron Reborn,106,15127.84,7733.28
G0022,Star Uprising,135,44940.7,20739.249999999996
G0023,Titan Legends,99,5170.7699999999995,1250.3699999999994
G0024,Storm Quest,117,15920.189999999999,8392.409999999998
G0025,Storm Rising,130,26827.399999999998,12411.699999999997
G0026,Nova Odyssey,126,10236.24,2857.679999999999
G0027,Ember Frontier,130,9172.8,4091.0999999999995
G0028,Storm Odyssey,90,6729.3,2136.6
G0029,Dragon Frontier,111,22149.95,7961.929999999999
G0030,Storm Reborn,134,28460.26,14765.459999999997
G0031,Frost Quest,104,35264.32,17690.4
G0032,Nova Reborn,113,8730.28,1649.7000000000012
G0033,Lunar Quest,107,23322.79,12041.779999999999
G0034,Dragon Protocol,144,30941.36,13767.919999999998
G0035,Storm Horizon,93,15766.29,7128.450000000001
G0036,Crimson Odyssey,140,13664.76,3887.1599999999994
G0037,Lunar Saga,145,31478.05,17160.75
G0038,Star Requiem,115,40911.25,21362.399999999998
G0039,Solar Reborn,109,28510.149999999998,15239.399999999998
G0040,Solar Empire,110,15806.880000000001,8143.180000000001
G0041,Crimson Rising,108,12005.560000000001,5467.240000000001
G0042,Crimson Protocol,157,37645.229999999996,17998.25
G0043,Iron Empire,141,35761.83,15855.449999999999
G0044,Cyber Legends,112,31708.32,14327.04
G0045,Neon Rising,97,22336.86,6347.38
G0046,Rogue Saga,100,25550.0,8663.999999999998
G0047,Ghost Arena,109,24034.34,8722.020000000002
G0048,Storm Rising,133,15046.560000000001,3425.020000000001
G0049,Titan Chronicles,133,15740.960000000001,7303.4400000000005
G0050,Dragon Saga,136,28490.64,11324.720000000001
G0051,Shadow Legends,138,35308.68,19150.260000000002
G0052,Ember Chronicles,136,28524.58,12078.1
G0053,Star Rising,116,7484.32,3975.3199999999997
G0054,Star Chronicles,117,38518.2,18355.589999999997
G0055,Cyber Uprising,157,31288.71,10874.0
G0056,Iron Odyssey,120,32249.16,16457.16
G0057,Frost Requiem,104,12074.58,4478.419999999999
G0058,Lunar Frontier,115,26584.55,11480.449999999999
G0059,Ghost Empire,126,24078.0,10555.680000000002
G0060,Storm Empire,105,22711.500000000004,6858.600000000004
G0061,Nova Horizon,144,24776.640000000003,11504.160000000002
G0062,Frost Frontier,107,9704.85,4125.869999999999
G0063,Cyber Saga,126,13652.800000000001,6548.920000000001
G0064,Storm Protocol,118,10137.380000000001,4237.38
G0065,Lunar Saga,106,29382.14,12995.599999999999
G0066,Nova Frontier,91,21994.699999999997,7800.5199999999995
G0067,Storm Rising,132,27331.920000000002,9243.960000000001
G0068,Dragon Reborn,110,13830.3,4209.700000000001
G0069,Ember Chronicles,135,10401.269999999999,5090.369999999999
G0070,Shadow Protocol,110,4892.16,1495.3600000000001
G0071,Ember Requiem,113,12029.98,4921.15
G0072,Frost Uprising,114,39585.24,20441.219999999998
G0073,Frost Horizon,103,17437.690000000002,4417.460000000001
G0074,Crimson Arena,165,23151.030000000002,6948.030000000001
G0075,Ember Rising,104,5758.48,2335.84
G0076,Dragon Saga,150,38266.5,12400.500000000004
G0077,Storm Reborn,107,16631.62,4369.420000000002
G0078,Rogue Reborn,142,34176.8,9367.98
G0079,Frost Arena,106,25786.620000000003,13192.760000000002
G0080,Solar Protocol,115,13419.949999999999,3980.7499999999986
