order_id,member_id,game_id,quantity,unit_price,order_date,promotion_id
1,106,G0067,2,207.06,2025-02-01 09:11:00,0
2,233,G0006,1,65.4,2024-11-27 15:02:00,0
3,267,G0036,3,99.02,2024-09-26 14:37:00,0
4,292,G0023,2,52.23,2025-01-22 12:40:00,0
5,40,G0067,2,207.06,2025-01-20 12:46:00,PROMO02
6,265,G0052,2,212.87,2024-12-19 16:57:00,0
7,247,G0078,1,244.12,2025-05-28 09:29:00,PROMO04
8,85,G0030,1,212.39,2025-06-10 15:49:00,0
9,109,G0020,1,74.45,2024-06-10 10:42:00,0
10,61,G0030,2,212.39,2024-12-04 09:16:00,0
11,247,G0062,2,100.05,2024-08-03 13:50:00,0
12,211,G0003,1,150.98,2024-02-14 17:03:00,0
13,83,G0018,3,221.9,2025-06-08 15:35:00,0
14,294,G0019,1,354.11,2024-06-19 15:56:00,0
15,93,G0067,2,207.06,2024-01-20 15:39:00,PROMO03
16,44,G0028,2,74.77,2025-04-27 16:56:00,PROMO02
17,113,G0053,3,64.52,2024-05-26 13:03:00,0
18,94,G0080,3,138.35,2025-06-07 10:31:00,0
19,176,G0059,3,200.65,2024-03-11 16:46:00,0
20,198,G0017,1,148.16,2024-01-17 13:38:00,0
21,259,G0054,1,366.84,2024-04-08 13:52:00,0
22,20,G0069,3,80.63,2024-04-30 12:27:00,0
23,67,G0078,3,244.12,2024-01-02 10:40:00,PROMO04
24,268,G0054,-2,366.84,2024-02-14 17:25:00,0
25,220,G0030,2,212.39,2025-01-25 16:52:00,0
26,295,G0013,2,273.26,2024-05-17 14:07:00,0
27,120,G0011,2,104.53,2025-02-22 12:15:00,0
28,3,G0001,3,124.6,2025-06-19 16:05:00,0
29,4,G0049,3,120.16,2024-07-29 13:42:00,0
30,162,G0053,-2,64.52,2024-04-19 12:13:00,0
31,300,G0033,2,217.97,2025-03-09 13:19:00,0
32,142,G0051,1,255.86,2025-02-27 11:50:00,0
33,286,G0062,1,100.05,2025-01-14 09:21:00,0
34,248,G0033,2,217.97,2024-12-18 13:08:00,0
35,204,G0018,3,221.9,2024-05-01 16:01:00,0
36,229,G0021,1,145.46,2024-08-07 09:13:00,0
37,174,G0071,3,106.46,2024-02-23 16:54:00,0
38,3,G0012,1,305.64,2025-04-27 16:32:00,PROMO04
39,46,G0009,2,176.47,2024-08-15 11:59:00,0
40,20,G0050,2,209.49,2025-06-17 14:12:00,0
41,30,G0023,3,52.23,2025-05-21 10:21:00,0
42,104,G0067,2,207.06,2024-07-18 15:09:00,0
43,262,G0067,3,207.06,2024-08-25 15:23:00,0
44,19,G0047,1,224.62,2024-01-01 12:33:00,PROMO01
45,142,G0052,2,212.87,2025-02-08 09:48:00,0
46,103,G0067,1,207.06,2024-03-11 17:22:00,PROMO03
47,287,G0075,2,58.76,2024-12-21 13:46:00,PROMO03
48,116,G0078,1,244.12,2025-04-10 17:37:00,PROMO01
49,134,G0023,2,52.23,2025-06-02 15:17:00,0
50,38,G0065,2,277.19,2024-12-14 16:54:00,PROMO03
51,276,G0074,2,157.49,2025-03-29 15:26:00,PROMO04
52,125,G0044,2,283.11,2025-04-16 10:09:00,PROMO01
53,247,G0015,2,191.62,2024-03-10 12:57:00,0
54,113,G0030,2,212.39,2025-02-26 13:54:00,PROMO01
55,135,G0032,2,84.76,2024-04-05 13:02:00,0
56,176,G0010,3,273.15,2024-07-01 09:54:00,0
57,182,G0028,3,74.77,2024-10-02 13:56:00,0
58,98,G0064,3,85.91,2024-07-23 10:49:00,0
59,124,G0034,1,227.51,2024-08-22 15:15:00,0
60,128,G0080,2,138.35,2024-06-08 15:37:00,0
61,62,G0011,3,104.53,2025-05-19 17:32:00,0
62,278,G0006,2,65.4,2025-01-15 15:37:00,0
63,253,G0074,2,157.49,2025-05-17 12:36:00,0
64,262,G0036,2,99.02,2024-08-15 17:38:00,0
65,66,G0007,3,55.49,2025-03-09 12:30:00,0
66,277,G0005,-3,289.63,2024-12-21 11:41:00,0
67,90,G0059,1,200.65,2025-06-14 17:31:00,0
68,5,G0002,3,51.59,2024-08-03 12:00:00,0
69,52,G0042,2,256.09,2024-09-22 09:02:00,0
70,135,G0031,2,339.08,2025-04-27 13:57:00,PROMO03
71,188,G0024,2,136.07,2025-03-10 16:54:00,0
72,191,G0047,2,224.62,2024-10-13 10:35:00,0
73,293,G0017,3,148.16,2024-08-22 13:10:00,0
74,139,G0031,3,339.08,2025-03-18 10:46:00,PROMO02
75,75,G0020,2,74.45,2024-01-10 15:08:00,0
76,256,G0018,3,221.9,2025-06-13 13:22:00,0
77,162,G0063,2,121.9,2024-09-13 11:19:00,0
78,291,G0007,2,55.49,2024-04-11 11:00:00,0
79,31,G0028,2,74.77,2025-05-02 14:48:00,0
80,50,G0058,-3,231.17,2024-12-08 15:30:00,0
81,185,G0072,3,366.53,2024-09-20 17:18:00,0
82,211,G0016,2,233.36,2024-07-22 12:30:00,0
83,276,G0023,2,52.23,,0
84,262,G0063,3,121.9,2025-04-02 16:26:00,PROMO04
85,147,G0060,-3,216.3,2024-05-28 14:31:00,PROMO03
86,216,G0079,3,243.27,2025-02-18 15:20:00,0
87,37,G0011,1,104.53,2024-12-17 09:49:00,0
88,163,G0038,3,355.75,2024-09-30 11:14:00,0
89,203,G0035,2,169.53,2025-01-06 15:08:00,0
90,267,G0058,2,231.17,2024-06-20 16:31:00,0
91,12,G0017,3,148.16,2024-08-28 12:53:00,0
92,41,G0027,1,76.44,2025-02-10 16:22:00,0
93,33,G0061,3,172.06,2024-02-25 16:02:00,0
94,204,G9004,1,125.73,2024-04-16 12:58:00,0
95,80,G0011,3,104.53,2025-02-03 17:26:00,0
96,127,G0037,2,217.09,2024-05-09 11:10:00,0
97,88,G0004,1,107.07,2024-12-31 11:36:00,PROMO03
98,244,G0060,3,216.3,2024-10-05 15:19:00,0
99,70,G0070,1,49.92,2025-04-12 14:56:00,0
100,289,G0056,3,278.01,2024-11-13 10:17:00,PROMO04
101,277,G0030,1,212.39,2025-03-28 16:33:00,0
102,212,G0034,1,227.51,2024-11-06 10:32:00,0
103,938,G0018,2,221.9,2024-10-20 16:14:00,0
